x,y,yDot,yDDot
1.17,0.4353104,2.3479793,-44.699333
1.18,0.4566095,1.9172729,-41.44202
1.19,0.47376457,1.5191351,-38.184666
1.2,0.487101,1.1535754,-34.92735
1.21,0.49694464,0.82058877,-31.670034
1.22,0.50362134,0.5201753,-28.41272
1.23,0.5074567,0.25233495,-25.155403
1.24,0.5087734,0.013417703,-24.677696
1.25,0.50755155,-0.2699916,-32.00422
1.26,0.50312936,-0.62666607,-39.330746
1.27,0.49477404,-1.0566058,-46.65727
1.28,0.48175302,-1.5598106,-53.983795
1.29,0.46333364,-2.1362805,-61.310318
1.3,0.43878326,-2.7860157,-68.63684
1.31,0.40736917,-3.5090163,-75.96337
1.32,0.36835825,-4.3052917,-83.28998
1.33,0.3210188,-5.1748233,-90.61651
1.34,0.26461998,-6.1133237,-92.6266
1.35,0.19928162,-6.9117484,-67.058464
1.36,0.12723742,-7.4544916,-41.490322
1.37,0.051044196,-7.7415543,-15.922178
1.38,-0.026741244,-7.772935,9.645964
1.39,-0.10356209,-7.548635,35.214108
1.4,-0.17686152,-7.0686536,60.78225
1.41,-0.24408276,-6.332991,86.35039
1.42,-0.30266896,-5.3416476,111.91853
1.43,-0.35006332,-4.0946226,137.48668
1.44,-0.38370952,-2.5926735,160.49332
1.45,-0.4018899,-1.0712299,143.79568
1.46,-0.4056907,0.2832375,127.09806
1.47,-0.39678174,1.4707289,110.40044
1.48,-0.37683272,2.491244,93.70281
1.49,-0.34751347,3.3447833,77.00518
1.5,-0.3104937,4.0313463,60.307556
1.51,-0.2674432,4.5509334,43.60993
1.52,-0.22003172,4.903544,26.912304
1.53,-0.16992901,5.0891786,10.214677
1.54,-0.118804835,5.107837,-6.48295
1.55,-0.06806454,5.042185,-5.9514
1.56,-0.017919358,4.988956,-4.694339
1.57,0.03175698,4.9482975,-3.4372623
1.58,0.081089,4.9202104,-2.180201
1.59,0.130203,4.9046936,-0.92313963
1.6,0.17922468,4.9017477,0.33392167
1.61,0.22827975,4.911372,1.590983
1.62,0.27749392,4.933567,2.8480444
1.63,0.3269929,4.968333,4.105106
1.64,0.3769024,5.0156693,5.362167
1.65,0.4272331,5.035395,-2.7405713
